Fakultät,Code,Id,Kanton,Einwohner,Jahr,Semester,Immatrikulationen
Psychologie,VD,22,Waadt,799145,2006,HS,0
Psychologie,VS,23,Wallis,343955,2006,HS,1
Psychologie,NE,24,Neuenburg,176850,2006,HS,0
Psychologie,GE,25,Genf,499480,2006,HS,0
Psychologie,JU,26,Jura,73419,2006,HS,0
Wirtschaftswissenschaften,BS,12,Basel-Stadt,194766,2006,HS,38
Wirtschaftswissenschaften,ZH,1,Zürich,1520968,2006,HS,1
Wirtschaftswissenschaften,BE,2,Bern,1034977,2006,HS,4
Wirtschaftswissenschaften,LU,3,Luzern,409557,2006,HS,4
Wirtschaftswissenschaften,UR,4,Uri,36433,2006,HS,0
Wirtschaftswissenschaften,SZ,5,Schwyz,159165,2006,HS,1
Wirtschaftswissenschaften,OW,6,Obwalden,37841,2006,HS,0.5
Wirtschaftswissenschaften,GL,8,Glarus,40403,2006,HS,0
Wirtschaftswissenschaften,ZG,9,Zug,126837,2006,HS,0
Wirtschaftswissenschaften,FR,10,Freiburg,318714,2006,HS,1
Wirtschaftswissenschaften,SO,11,Solothurn,273194,2006,HS,16
Wirtschaftswissenschaften,BL,13,Basel-Landschaft,288132,2006,HS,52
Wirtschaftswissenschaften,SH,14,Schaffhausen,81991,2006,HS,1
Wirtschaftswissenschaften,AI,16,Appenzell Innerrhoden,16145,2006,HS,1
Wirtschaftswissenschaften,SG,17,St. Gallen,507697,2006,HS,3
Wirtschaftswissenschaften,GR,18,Graubünden,198379,2006,HS,2
Wirtschaftswissenschaften,AG,19,Aargau,677387,2006,HS,12
Wirtschaftswissenschaften,TG,20,Thurgau,276472,2006,HS,0
Wirtschaftswissenschaften,TI,21,Tessin,353343,2006,HS,4
Wirtschaftswissenschaften,VD,22,Waadt,799145,2006,HS,0
Wirtschaftswissenschaften,VS,23,Wallis,343955,2006,HS,3
Wirtschaftswissenschaften,NE,24,Neuenburg,176850,2006,HS,0
Wirtschaftswissenschaften,GE,25,Genf,499480,2006,HS,0
Wirtschaftswissenschaften,JU,26,Jura,73419,2006,HS,1
Philosophie II,BS,12,Basel-Stadt,194766,2006,HS,60
Philosophie II,ZH,1,Zürich,1520968,2006,HS,9
Philosophie II,BE,2,Bern,1034977,2006,HS,19
Philosophie II,LU,3,Luzern,409557,2006,HS,23
Philosophie II,UR,4,Uri,36433,2006,HS,0
Philosophie II,SZ,5,Schwyz,159165,2006,HS,1
Philosophie II,OW,6,Obwalden,37841,2006,HS,2.5
Philosophie II,GL,8,Glarus,40403,2006,HS,1
Philosophie II,ZG,9,Zug,126837,2006,HS,3
Philosophie II,FR,10,Freiburg,318714,2006,HS,5
Philosophie II,SO,11,Solothurn,273194,2006,HS,14
Philosophie II,BL,13,Basel-Landschaft,288132,2006,HS,62
Philosophie II,SH,14,Schaffhausen,81991,2006,HS,1
Philosophie II,AI,16,Appenzell Innerrhoden,16145,2006,HS,2.5
Philosophie II,SG,17,St. Gallen,507697,2006,HS,11
Philosophie II,GR,18,Graubünden,198379,2006,HS,7
Philosophie II,AG,19,Aargau,677387,2006,HS,31
Philosophie II,TG,20,Thurgau,276472,2006,HS,5
Philosophie II,TI,21,Tessin,353343,2006,HS,7
Philosophie II,VD,22,Waadt,799145,2006,HS,2
Philosophie II,VS,23,Wallis,343955,2006,HS,3
Philosophie II,NE,24,Neuenburg,176850,2006,HS,2
Philosophie II,GE,25,Genf,499480,2006,HS,0
Philosophie II,JU,26,Jura,73419,2006,HS,0
Lehrerausbildung,BS,12,Basel-Stadt,194766,2006,HS,7
Lehrerausbildung,ZH,1,Zürich,1520968,2006,HS,0
Lehrerausbildung,BE,2,Bern,1034977,2006,HS,1
Lehrerausbildung,LU,3,Luzern,409557,2006,HS,0
Lehrerausbildung,UR,4,Uri,36433,2006,HS,0
Lehrerausbildung,SZ,5,Schwyz,159165,2006,HS,0
Lehrerausbildung,OW,6,Obwalden,37841,2006,HS,0
Lehrerausbildung,GL,8,Glarus,40403,2006,HS,0
Lehrerausbildung,ZG,9,Zug,126837,2006,HS,0
Lehrerausbildung,FR,10,Freiburg,318714,2006,HS,0
Lehrerausbildung,SO,11,Solothurn,273194,2006,HS,3
Lehrerausbildung,BL,13,Basel-Landschaft,288132,2006,HS,10
Lehrerausbildung,SH,14,Schaffhausen,81991,2006,HS,0
Lehrerausbildung,AI,16,Appenzell Innerrhoden,16145,2006,HS,0
Lehrerausbildung,SG,17,St. Gallen,507697,2006,HS,0
Lehrerausbildung,GR,18,Graubünden,198379,2006,HS,1
Lehrerausbildung,AG,19,Aargau,677387,2006,HS,2
Lehrerausbildung,TG,20,Thurgau,276472,2006,HS,1
Lehrerausbildung,TI,21,Tessin,353343,2006,HS,0
Lehrerausbildung,VD,22,Waadt,799145,2006,HS,0
Lehrerausbildung,VS,23,Wallis,343955,2006,HS,0
Lehrerausbildung,NE,24,Neuenburg,176850,2006,HS,0
Lehrerausbildung,GE,25,Genf,499480,2006,HS,0
Lehrerausbildung,JU,26,Jura,73419,2006,HS,0
Theologie,NW,7,Nidwalden,43223,2006,HS,0
Jurisprudenz,NW,7,Nidwalden,43223,2006,HS,0
Medizin,NW,7,Nidwalden,43223,2006,HS,1.5
Philosophie I,NW,7,Nidwalden,43223,2006,HS,2
